Café Rio  Jordan Landing,7677 Jordan Landing Blvd. #130,West Jordan,UT
Café Rio American Fork,821 W. State Road,American Fork,UT
Café Rio Cedar City,1243 South Drive,Cedar City,UT
Café Rio Draper,62 E.12300 South,Draper,UT
Café Rio Fort Union,6973 S. 1300 East,Cottonwood Heights,UT
Café Rio Heber City,75 W. 1000 South,Heber City,UT
Café Rio Herriman,5506 W. 13400 South,Herriman,UT
Café Rio Hunter,2885 S. 5600 West,W. V. C.,UT
Café Rio Layton,2065 N. Harris Blvd.,Layton,UT
Café Rio Lehi,"1851 W. Traverse Parkway, Ste D",Lehi,UT
Café Rio Logan,1460 N. Main Street,Logan,UT
Café Rio North Ogden,2629 N. 400 East,North Ogden,UT
Café Rio Orem,147 N. State Street,Orem,UT
Café Rio Park City,"1456 W. Newpark Blvd.,  #1L",Park City,UT
Café Rio Provo,2250 N University Pkwy #A-16,Provo,UT
Café Rio Rock Springs,"1453 Dewar Drive, Ste B",Rock Springs,WY
Café Rio Sandy,9320 S. Village Shop Dr.,Sandy,UT
Café Rio Saratoga Springs,"1513 N. Redwood Rd., Ste #104",Saratoga Springs,UT
Café Rio SLC 400 S.,532 E. 400 South,S. L. C.,UT
Café Rio South Jordan,1644 W. Towne Center Dr,South Jordan,UT
Café Rio South Ogden,4015 S. Riverdale Road,South Ogden,UT
Café Rio Spanish Fork,782 N. 800 East,Spanish Fork,UT
Café Rio St. George,"15 S. River Road, Ste A1",St. George,UT
Café Rio Taylorsville,1855 W. 5400 South,Taylorsville,UT
Café Rio Tooele,1205 N. Main Street,Tooele,UT
Café Rio Vernal,1205 W. Highway 40,Vernal,UT
Café Rio West Bountiful,234 S.500 West,West Bountiful,UT
Café Zupas American Fork,599 West Main Street,American Fork,UT
Café Zupas Downtown,613 East 400 South,S. L. C.,UT
Café Zupas Draper,75 East 12300 South,Draper,UT
Café Zupas Farmington,262 N. Central Ave. Station Park,Farmington,UT
Café Zupas Jordan Landing,7632 S. Campus View Drive,West Jordan,UT
Café Zupas Layton,748 W. Antelope Drive,Layton,UT
Café Zupas Lehi,3750 N. Thanksgiving Way #100,Lehi,UT
Café Zupas Murray,5157 S. State Street,Murray,UT
Café Zupas Orem,55 S. State Street,Orem,UT
Café Zupas Park City,"1626 Uinta Way, Ste A",Park City,UT
Café Zupas Provo,408 West 2230 North,Provo,UT
Café Zupas Quarry Bend,9242 S. Village Shop Drive,Sandy,UT
Café Zupas Riverdale (LL),4245 South Riverdale Road,Riverdale,UT
Café Zupas South Jordan,10680 S. River Front Parkway,South Jordan,UT
Café Zupas Spanish Fork,507 East 1000 North,Spanish Fork,UT
Café Zupas Sugar House,2236 South 1300 East,S. L. C.,UT
Café Zupas The District,11463 S. District Main Dr.,South Jordan,UT
Café Zupas Valley Fair,3599 S. 2700 West # 400,W. V. C.,UT
Café Zupas West Valley,2927 S. 5600 West,W. V. C.,UT
Café Zupas/Thai Basil,"6550 South 3000 East, Unit A",Holladay,UT
Habit Burger Cottonwood,6985 S. Park Center Dr.,Cottonwood Heights,UT
Habit Burger Farmington,260 Union Pacific Railroad,Farmington,UT
Habit Burger Grill Riverdale,839 W. Riverdale Road,Riverdale,UT
Habit Burger Layton,508 W Antelope Drive,Layton,UT
Habit Burger Sandy,11380 S. State Street,Sandy,UT
Habit Burger South Jordan,11428 S. Parkway Plaza,South Jordan,UT
Habit Burger West Jordan,"7677 S. Jordan Landing, Ste #110",West Jordan,UT
Panda Express,959 West State Road,American Fork,UT
Panda Express,245 West 500 South,Bountiful,UT
Panda Express,1649 North 2000 West,Clinton,UT
Panda Express,64 East 12300 South,Draper,UT
Panda Express,"350 N. Central Ave., Ste. KA-120",Farmington,UT
Panda Express,1950 North 1000 West,Layton,UT
Panda Express,5888 South State Street,Murray,UT
Panda Express,6191 S. State Street Ste. # 1390,Murray,UT
Panda Express,"206 E. 12th. Street, Suite D",Ogden,UT
Panda Express,80 East Center Street,Orem,UT
Panda Express,494 East 1300 South,Orem,UT
Panda Express,"1748 W. Redstone Ctr Dr., #110",Park City,UT
Panda Express,148 So. Pleasant Grove Blvd.,Pleasant Grove,UT
Panda Express,Provo Towne Court,Provo,UT
Panda Express,1240 N. University Ave.,Provo,UT
Panda Express,"4115 Riverdale Road, Space A",Riverdale,UT
Panda Express,3648 West 13400 South,Riverton,UT
Panda Express,1908 West 5600 South,Roy,UT
Panda Express,Gateway 140 S. Rio Grande,S. L. C.,UT
Panda Express,"1126 East 2100 South, Ste B",S. L. C.,UT
Panda Express,6927 S. Park Center Drive,S. L. C.,UT
Panda Express,Crossroads Mall; 50 S. Main,S. L. C.,UT
Panda Express,9166 S. Village Shop Drive,Sandy,UT
Panda Express,10450 South State #FC3,Sandy,UT
Panda Express,1413 N. Redwood Road,Saratoga Springs,UT
Panda Express,10555 S. Redwood Rd. Suite B,South Jordan,UT
Panda Express,1181 North Main Street,Tooele,UT
Panda Express,"4645 South 4000 West, Suite A",W. V. C.,UT
Panda Express,3051 South Colt Plaza Drive,W. V. C.,UT
Panda Express,"6910 S. Redwood Rd., Ste A",West Jordan,UT
Panda Express,3758 West 7800 South,West Jordan,UT
Panda Express (Mall Pump),"575 E University Parkway, #202",Orem,UT
Panda Express / Jimmy Johns,5594 South Redwood Rd.,Taylorsville,UT
Panda Express/ DIX/DRAIN,"245 N. Red Cliffs Dr #15,",St. George,UT
Pei Wei Midvale,"1148 E. Fort Union Blvd., STE 162",Midvale,UT
Pei Wei Sandy,10373 S. State Street,Sandy,UT
Pei Wei Sugarhouse,1028 East 2100 South Ste. 3,S. L. C.,UT
Pei Wei West Bountiful,71 North 500 West Ste. A,West Bountiful,UT
Rubio's Fresh Mexican Grill,598 West Main Street Ste. D2,American Fork,UT
Rubio's Fresh Mexican Grill,5283 South State Street,Murray,UT
Rubio's Fresh Mexican Grill,530 East University Parkway,Orem,UT
Rubio's Fresh Mexican Grill,1160 E. 2100 South Sugarhouse,S. L. C.,UT
Rubio's Fresh Mexican Grill,358 South 700 East Ste. F,S. L. C.,UT
The Cheesecake Factory,"6223 S. State St., # 2001",Murray,UT
CARRABAS #9501  **WC **,683  E UNIVERSITY PKWY,OREM,UT
CHUCK E CHEESE #114,450 N MAIN,LAYTON,UT
CHUCK E CHEESE #120,"389 W. 1830 SOUTH, SU",SALT LAKE CITY,UT
CINEMARK USA #054,2227 S. HIGHLAND DRIVE,SALT LAKE CITY,UT
EINSTEIN BROS BAGELS #1247,7176 UNION PARK AVENU,MIDVALE,UT
EINSTEIN BROS BAGELS #1252,556 E. 1300 S,OREM,UT
EINSTEIN BROS BAGELS #1319,1297 E. DRAPER PARKWA,DRAPER,UT
EINSTEIN BROS BAGELS #1394,240 SOUTH 1300 EAST,SALT LAKE CITY,UT
EINSTEIN BROS BAGELS #1396,481 E. S TEMPLE,SALT LAKE CITY,UT
EINSTEIN BROS BAGELS #3590,3638 WEST 13400 SOUTH,RIVERTON,UT
EINSTEIN BROS BAGELS #725,38 E 1230 N,PROVO,UT
EINSTEIN BROS BAGELS #729,1890 BONANZA DRIVE,PARK CITY,UT
EINSTEIN BROS BAGELS #731,2353 E FORT UNION BOU,SALT LAKE CITY,UT
KINDERCARE #301505 ** WC **,545 S GUARDSMAN WAY,SALT LAKE CITY,UT
KINDERCARE #301747  ** WC **,12265 SOUTH 1190 EAST,DRAPER,UT
KINDERCARE #301860  **WC**,1208 N. SHEPARD CREEK,FARMINGTON,UT
LIFETIME S VALLEY MAIN CAFE,10996 S RIVER FRONT P,JORDAN,UT
LIFETIME S VALLEY POOL BISTRO,10996 S RIVER FRONT P,SOUTH JORDAN,UT
LOVES TRAVEL STOP #518,358 S 2200 W,SPRINGVILLE,UT
LOVES TRAVEL STOP #581,1915 S STATE ST,SALINA,UT
LOVES TRAVEL STOP #686,20 SOUTH 1550 WEST ST,BRIGHAM CITY,UT
MIMIS CAFE #65,10470 S. STATE ST.,SANDY,UT
MIMIS CAFE #73,5223 S. STATE ST.,SALT LAKE CITY,UT
MIMIS CAFE #78,304 E. UNIVERSITY PKW,OREM,UT
NEIGHBORHOOD MKT #4100,2255 N UNIVERSITY PAR,PROVO,UT
NEIGHBORHOOD MKT #4700,1707 WEST STATE STREE,PLEASANT GROVE,UT
NEIGHBORHOOD MKT #4706,3555 S. 8400 W.,MAGNA,UT
NEIGHBORHOOD MKT #5109,4570 S 4000 W,WEST VALLEY CITY,UT
NEIGHBORHOOD MKT #5110,1360 DRAPER PKWY,DRAPER,UT
NEIGHBORHOOD MKT #5120,3706 W 9800 S,SOUTH JORDAN,UT
NEIGHBORHOOD MKT #5205,1356 E HIGHWAY 193,LAYTON,UT
NEIGHBORHOOD MKT #5206,1710 E SKYLINE DR,OGDEN,UT
NEIGHBORHOOD MKT #7043,1202 WEST 12600 SOUTH,RIVERTON,UT
NEIGHBORHOOD MKT #7168,5056 W 13400 S,HERRIMAN,UT
NOODLES & COMPANY #701  *hold*,5207 SOUTH STATE STRE,SALT LAKE CITY,UT
NOODLES & COMPANY #702  *hold*,1152 EAST 2100 SOUTH,SALT LAKE CITY,UT
NOODLES & COMPANY #703  *hold*,6901 SOUTH 130TH STRE,MIDVALE,UT
NOODLES & COMPANY #704  *hold*,358 SOUTH 700 EAST,SALT LAKE CITY,UT
NOODLES & COMPANY #705  *hold*,293 EAST UNIVERSITY P,OREM,UT
NOODLES & COMPANY #706  *hold*,748 WEST ANTELOPE DRI,LAYTON,UT
NOODLES & COMPANY #707  *hold*,191 EAST 12300 SOUTH,DRAPER,UT
NOODLES & COMPANY #708  *hold*,10340 SOUTH STATE STR,SANDY,UT
NOODLES & COMPANY #710  *hold*,1400 NORTH MAIN STREE,LOGAN,UT
NOODLES & COMPANY #712  *hold*,4193 RIVERDALE RD,OGDEN,UT
NOODLES & COMPANY #714  *hold*,7800 SOUTH CAMPUS VIE,WEST JORDAN,UT
OUTBACK #4512,372 E UNIVERSITY PKWY,OREM,UT
SAMS CLUB # 4718,11278 S. JORDAN GATEW,SOUTH JORDAN,UT
SAMS CLUB # 4730,7571 SOUTH 3800 WEST,WEST JORDAN,UT
SAMS CLUB # 4786,145 W. CACHE VALLEY B,LOGAN,UT
SAMS CLUB # 6682,1055 W. HILLFIELD,LAYTON,UT
SAMS CLUB # 6683,6525 S. STATE ST.,SALT LAKE CITY,UT
SAMS CLUB # 6684,4949 S. 900 W.,OGDEN,UT
SAMS CLUB # 6685,1313 S. UNIVERSITY AVE.,PROVO,UT
SAMS CLUB # 6686,1905 S. 300 W.,SALT LAKE CITY,UT
SAMS CLUB #4718,11278 S. JORDAN GATEW,SOUTH JORDAN,UT
SAMS CLUB #4730,7571 S. 3800 W.,WEST JORDAN,UT
SAMS CLUB #4786,145 W. CACHE VALLEY B,LOGAN,UT
SAMS CLUB #6682,1055 W. HILLFIELD,LAYTON,UT
SAMS CLUB #6683,6525 S. STATE ST.,SALT LAKE CITY,UT
SAMS CLUB #6684,4949 S. 900 W.,OGDEN,UT
SAMS CLUB #6685,1313 S. UNIVERSITY AV,PROVO,UT
SAMS CLUB #6686,1905 S. 300 W.,SALT LAKE CITY,UT
SPROUTS FARMERS MARKETS #601,6284 S. STATE STREET,SALT LAKE CITY,UT
SPROUTS FARMERS MARKETS #602,1375 S. STATE STREET,OREM,UT
SPROUTS FARMERS MARKETS #603,216 S.700 EAST,SALT LAKE CITY,UT
SPROUTS FARMERS MARKETS #604,1785 E. MURRAY HOLLAD,SALT LAKE CITY,UT
SPROUTS FARMERS MARKETS #605,11575 SOUTH 4000 W,SOUTH JORDAN,UT
SUPERCENTER #1438,1330 S PROVIDENCE CEN,CEDAR CITY,UT
SUPERCENTER #1439,625 W TELEGRAPH ST,WASHINGTON,UT
SUPERCENTER #1440,99 W 1280 N,TOOELE,UT
SUPERCENTER #1572,1851 W HIGHWAY 40,VERNAL,UT
SUPERCENTER #1573,255 S HIGHWAY 55,PRICE,UT
SUPERCENTER #1686,5469 S REDWOOD RD,SALT LAKE CITY,UT
SUPERCENTER #1699,745 W HILL FIELD RD,LAYTON,UT
SUPERCENTER #1708,4848 S 900 W,OGDEN,UT
SUPERCENTER #1768,1355 SANDHILL RD,OREM,UT
SUPERCENTER #1827,6545 LANDMARK DR,PARK CITY,UT
SUPERCENTER #1888,1550 N MAIN ST,LOGAN,UT
SUPERCENTER #2207,7250 UNION PARK AVE,MIDVALE,UT
SUPERCENTER #2307,11328 S JORDAN GTWY,SOUTH JORDAN,UT
SUPERCENTER #2511,949 W GRASSLAND DR,AMERICAN FORK,UT
SUPERCENTER #2794,777 N MAIN ST,EPHRAIM,UT
SUPERCENTER #2921,534 N HARRISVILLE RD,OGDEN,UT
SUPERCENTER #3208,660 S 1750 W,SPRINGVILLE,UT
SUPERCENTER #3220,2610 PIONEER RD,SAINT GEORGE,UT
SUPERCENTER #3232,7671 S 3800 W,WEST JORDAN,UT
SUPERCENTER #3366,221 W PARRISH LN,CENTERVILLE,UT
SUPERCENTER #3454,1200 S COMERCE WAY,BRIGHAM CITY,UT
SUPERCENTER #3568,3180 S 5600 W,WEST VALLEY CITY,UT
SUPERCENTER #3589,350 HOPE AVE,SALT LAKE CITY,UT
SUPERCENTER #3620,13502 HAMILTON VIEW R,RIVERTON,UT
SUPERCENTER #3789,1959 WALL AVE,OGDEN,UT
SUPERCENTER #3848,2228 W 1700 S,SYRACUSE,UT
SUPERCENTER #4068,1206 N. CANYON CREEK,SPANISH FORK,UT
SUPERCENTER #4208,2705 E PARLEYS WAY,SALT LAKE CITY,UT
SUPERCENTER #4272,1150 S 100 W,LOGAN,UT
SUPERCENTER #4438,136 W STATE ROAD 73,SARATOGA SPRINGS,UT
SUPERCENTER #4678,180 N 3400 W,HURRICANE,UT
SUPERCENTER #4689,4689 W CEDAR HILLS DR,PLEASANT GROVE,UT
SUPERCENTER #4696,1274 S US 189,HEBER CITY,UT
SUPERCENTER #5167,1052 TURF FARM RD,PAYSON,UT
SUPERCENTER #5168,10 E 1300 S,RICHFIELD,UT
SUPERCENTER #5233,5675 W 6200 S,SALT LAKE CITY,UT
SUPERCENTER #5234,1632 N 2000 W,CLEARFIELD,UT
SUPERCENTER #5235,9151 SOUTH QUARRY BLV,SANDY,UT
SUPERCENTER #5270,585 N STATE ST,LINDON,UT
SUPERCENTER #5350,4627 S 900 E,SALT LAKE CITY,UT
SUPERCENTER #5763,3590 W. SOUTH JORDAN,SOUTH JORDAN,UT
TACO BELL #30830,108 WESTLAND WAY,ROCK SPRINGS,WY
TARGET #T0768,6748 REDWOOD RD,WEST JORDAN,UT
TARGET #T1357,275 S RIVER RD,SAINT GEORGE,UT
TARGET #T1750,200 N MARKET PLACE DR,CENTERVILLE,UT
TARGET #T1751,7025 PARK CENTRE DR,SALT LAKE CITY,UT
TARGET #T1752,10130 S STATE ST,SANDY,UT
TARGET #T1753,1135 W RIVERDALE RD,OGDEN,UT
TARGET #T1754,175 W CENTER ST,OREM,UT
TARGET #T1755,815 W 2000 N,LAYTON,UT
TARGET #T1814,608 W MAIN STEET,AMERICAN FORK,UT
TARGET #T2123,11525 PARKWAY PLAZA D,SOUTH JORDAN,UT
TARGET #T2150,7779 JORDAN LANDING B,WEST JORDAN,UT
TARGET #T2609,5518 W HIGH MARKET DRIVE,WEST VALLEY CITY,UT
TARGET #T2641,1110 S 300 W,SALT LAKE CITY,UT
TOP GOLF USA,920 JORDAN RIVER BLVD,MIDVALE,UT
TRADER JOES #350,634 EAST 400 SOUTH,SALT LAKE CITY,UT
TRADER JOES #351,6989 SOUTH 1300 EAST,COTTONWOOD HEIGHTS,UT
WHOLE FOODS - CTW,6930 S. HIGHLAND DRIVE,SALT LAKE CITY,UT
WHOLE FOODS - SUH,1131 E. WILLMINGTON AVE,SALT LAKE CITY,UT
WHOLE FOODS - TSQ,544 SOUTH 700 EAST,SALT LAKE CITY,UT
WHOLE FOODS MARKET DPR *closed *,"11479 S. STATE ST, SU",DRAPER,UT
WHOLE FOODS MARKET PKC,1748 REDSTONE CENTER DRIVE,PARK CITY,UT
